наименовние вакансии,минимальная зарплата,максимальная зарплата,валюта зарплаты,ссылка на вакансию,работодатель,месторасположение
Инженер по тестированию (Backend),не указана,не указана,не указана,https://ekaterinburg.hh.ru/vacancy/76507654?from=vacancy_search_list&query=python,Тинькофф,"Екатеринбург, Площадь 1905 года"
Team Lead Fraud Analyst,не указана,не указана,не указана,https://ekaterinburg.hh.ru/vacancy/75641763?from=vacancy_search_list&query=python,Lanck Telecom,Екатеринбург
️ RPA-разработчик,не указана,не указана,не указана,https://ekaterinburg.hh.ru/vacancy/76330408?from=vacancy_search_list&query=python,ТМК++,Екатеринбург
Инженер DevOps,не указана,не указана,не указана,https://ekaterinburg.hh.ru/vacancy/76370778?from=vacancy_search_list&query=python,Сбер для экспертов,Екатеринбург
Бизнес-аналитик в отдел разработки,не указана,не указана,не указана,https://ekaterinburg.hh.ru/vacancy/69561454?from=vacancy_search_list&query=python,"ООО МОТИВ, телекоммуникационная группа","Екатеринбург, Динамо"
Руководитель группы тестирования,не указана,не указана,не указана,https://ekaterinburg.hh.ru/vacancy/39014647?from=vacancy_search_list&query=python,"ООО МОТИВ, телекоммуникационная группа",Екатеринбург
"Инженер по информационной безопасности, Инфраструктура",не указана,не указана,не указана,https://ekaterinburg.hh.ru/vacancy/71680000?from=vacancy_search_list&query=python,Ozon Информационные технологии,Екатеринбург
Teamlead QA Automation engineer,не указана,не указана,не указана,https://ekaterinburg.hh.ru/vacancy/43670929?from=vacancy_search_list&query=python,"ООО МОТИВ, телекоммуникационная группа","Екатеринбург, Динамо"
Администратор IDM,не указана,не указана,не указана,https://ekaterinburg.hh.ru/vacancy/71806572?from=vacancy_search_list&query=python,"ПАО ВТБ, Технологический блок",Екатеринбург
Аналитик отдела маркетплейс (Игрушка),50000,50000,руб.,https://ekaterinburg.hh.ru/vacancy/76750733?from=vacancy_search_list&query=python,ООО Сима-ленд,Екатеринбург
Заведующий сектором пространственных данных,не указана,не указана,не указана,https://ekaterinburg.hh.ru/vacancy/76794326?from=vacancy_search_list&query=python,Институт управления Правительства Ямало-Ненецкого автономного округа,Екатеринбург
Главный специалист аналитик (закупки),не указана,не указана,не указана,https://ekaterinburg.hh.ru/vacancy/75931797?from=vacancy_search_list&query=python,Уральская горно-металлургическая компания,Екатеринбург
Руководитель блока продуктовой аналитики,не указана,не указана,не указана,https://ekaterinburg.hh.ru/vacancy/76468233?from=vacancy_search_list&query=python,ПАО КБ Уральский банк реконструкции и развития (УБРиР),Екатеринбург
Программист 1С,не указана,не указана,не указана,https://ekaterinburg.hh.ru/vacancy/76339597?from=vacancy_search_list&query=python,Контур,Екатеринбург
Ведущий инженер научно-технического отдела,65000,80000,руб.,https://ekaterinburg.hh.ru/vacancy/76140922?from=vacancy_search_list&query=python,ООО Стратегия НК,Екатеринбург
Начальник Регионального центра развития «Санкт-Петербург»,не указана,не указана,не указана,https://ekaterinburg.hh.ru/vacancy/76330078?from=vacancy_search_list&query=python,Центральный банк Российской Федерации,Екатеринбург
Ведущий инженер-электроник,70000,70000,руб.,https://ekaterinburg.hh.ru/vacancy/76087871?from=vacancy_search_list&query=python,АО Уральский турбинный завод,"Екатеринбург, Машиностроителей"
Ведущий инженер группы развития и управления ИТ,65000,85000,руб.,https://ekaterinburg.hh.ru/vacancy/71552129?from=vacancy_search_list&query=python,ПАО ЭЛ5-Энерго,Екатеринбург
Руководитель группы разработки (TeamLead),не указана,не указана,не указана,https://ekaterinburg.hh.ru/vacancy/73982494?from=vacancy_search_list&query=python,Тинькофф,"Екатеринбург, Площадь 1905 года"
Системный администратор,не указана,не указана,не указана,https://ekaterinburg.hh.ru/vacancy/75931969?from=vacancy_search_list&query=python,Сбер. IT,Екатеринбург
Team Lead / Руководитель группы iOS-разработки,не указана,не указана,не указана,https://ekaterinburg.hh.ru/vacancy/76720567?from=vacancy_search_list&query=python,Mintrocket,Екатеринбург
Администратор по сопровождению ПО в дежурную смену,65000,80000,руб.,https://ekaterinburg.hh.ru/vacancy/76574435?from=vacancy_search_list&query=python,Сбер для экспертов,Екатеринбург
Junior программист 1С,не указана,не указана,не указана,https://ekaterinburg.hh.ru/vacancy/76150915?from=vacancy_search_list&query=python,Первый Бит,"Екатеринбург, Динамо"
HR-специалист в IT,не указана,не указана,не указана,https://ekaterinburg.hh.ru/vacancy/76441251?from=vacancy_search_list&query=python,ВЛАДИС,Екатеринбург
Руководитель отдела бизнес-анализа,не указана,не указана,не указана,https://ekaterinburg.hh.ru/vacancy/69561874?from=vacancy_search_list&query=python,"ООО МОТИВ, телекоммуникационная группа","Екатеринбург, Динамо"
Руководитель отдела системного анализа,не указана,не указана,не указана,https://ekaterinburg.hh.ru/vacancy/69559421?from=vacancy_search_list&query=python,"ООО МОТИВ, телекоммуникационная группа","Екатеринбург, Динамо"
IT рекрутер,не указана,не указана,не указана,https://ekaterinburg.hh.ru/vacancy/76372875?from=vacancy_search_list&query=python,ООО Очень Интересно,Екатеринбург
Маркетолог-аналитик,не указана,не указана,не указана,https://ekaterinburg.hh.ru/vacancy/76299514?from=vacancy_search_list&query=python,Сибур,Екатеринбург
